event_type,timestamp,tab_id,window_id,url,domain,action_subtype,element_role,element_text,is_nav_link,is_input_field,page_type,path_depth,x_coord,y_coord,selector,datetime
user_action_click,1755227049089,1,3,https://www.google.com/search?client=firefox-b-d&q=google&sei=o6OeaKGVHP2m2roPwbbfqAM,www.google.com,click,h3,google,False,False,search_results,1.0,135.0,75.0,div.yuRUbf:nth-of-type(1) > div.b8lM7 > span.V9tjod > a.zReHs > h3.LC20lb.MBeuO,2025-08-15T11:04:09.089000
user_action_click,1755227050486,1,3,https://www.google.com/?hl=ja,www.google.com,click,combobox,,False,True,editor,0.0,436.0,238.0,#APjFqb,2025-08-15T11:04:10.486000
user_action_keydown,1755227054364,1,3,https://www.google.com/?hl=ja,www.google.com,keydown,combobox,,False,True,editor,0.0,,,,2025-08-15T11:04:14.364000
user_action_keydown,1755227054487,1,3,https://www.google.com/?hl=ja,www.google.com,keydown,combobox,,False,True,editor,0.0,,,,2025-08-15T11:04:14.487000
user_action_text_input,1755227054972,1,3,https://www.google.com/?hl=ja,www.google.com,text_input,combobox,,False,True,editor,0.0,,,#APjFqb,2025-08-15T11:04:14.972000
user_action_keydown,1755227054973,1,3,https://www.google.com/?hl=ja,www.google.com,keydown,combobox,,False,True,editor,0.0,,,,2025-08-15T11:04:14.973000
user_action_click,1755227057112,1,3,https://www.google.com/search?q=google+wikipedia&sca_esv=caddd151944c4a58&hl=ja&source=hp&ei=qaOeaIDGIuHh0-kP2Iuh2Qo&iflsig=AOw8s4IAAAAAaJ6xubyGg8ltRTZWGFdPCW5qAYfsFdKV&ved=0ahUKEwjAvqim6ouPAxXh8DQHHdhFKKsQ4dUDCA8&uact=5&oq=google+wikipedia&gs_lp=Egdnd3Mtd2l6IhBnb29nbGUgd2lraXBlZGlhMgUQABiABDIEEAAYHjIEEAAYHjIEEAAYHjIEEAAYHjIEEAAYHjIEEAAYHjIEEAAYHjIEEAAYHjIEEAAYHkiEI1DpB1jpIXADeACQAQCYAe4BoAGlGqoBBTAuOS44uAEDyAEA-AEBmAIUoALWGqgCCsICGhAAGIAEGLQCGNQDGOUCGLcDGIoFGOoCGIoDwgIQEAAYgAQYsQMYQxiDARiKBcICCxAAGIAEGLEDGIMBwgIKEAAYgAQYQxiKBcICChAAGIAEGLEDGATCAg0QABiABBixAxiDARgEwgIIEAAYgAQYsQPCAgcQABiABBgEwgIGEAAYChgewgIJEAAYgAQYExgKwgIIEAAYogQYiQXCAgUQABjvBcICCBAAGIAEGKIEwgIHEAAYgAQYDcICBhAAGA0YHpgDBPEFqGIr6-96I4CSBwUzLjkuOKAHyDayBwUwLjkuOLgH0BrCBwYwLjE2LjTIByQ&sclient=gws-wiz,www.google.com,click,h3,google,False,False,search_results,1.0,145.0,113.0,div.yuRUbf:nth-of-type(1) > div.b8lM7 > span.V9tjod > a.zReHs > h3.LC20lb.MBeuO,2025-08-15T11:04:17.112000
user_action_click,1755227065206,1,3,https://ja.wikipedia.org/wiki/Google,ja.wikipedia.org,click,link,博士課程,False,False,general,2.0,465.0,369.0,#mw-content-text,2025-08-15T11:04:25.206000
browser_action_tab_updated,1755227066644,1,3,https://ja.wikipedia.org/wiki/%E5%A4%A7%E5%AD%A6%E9%99%A2,,tab_updated,,,,,,,,,,2025-08-15T11:04:26.644000
user_action_click,1755227069097,1,3,https://ja.wikipedia.org/wiki/Google,ja.wikipedia.org,click,div,概要[編集],False,False,general,2.0,425.0,293.0,#mw-content-text,2025-08-15T11:04:29.097000
browser_action_tab_created,1755227071379,2,3,about:blank,,tab_created,,,,,,,,,,2025-08-15T11:04:31.379000
browser_action_tab_activated,1755227072123,2,3,,,tab_activated,,,,,,,,,,2025-08-15T11:04:32.123000
browser_action_tab_created,1755227078846,3,3,about:blank,,tab_created,,,,,,,,,,2025-08-15T11:04:38.846000
browser_action_tab_activated,1755227079606,3,3,,,tab_activated,,,,,,,,,,2025-08-15T11:04:39.606000
